institution_code,institution_abbreviation,institution_name,metric,year,value
H01,CPUT,Cape Peninsula University of Technology,Enrolments,2012,33509
H01,CPUT,Cape Peninsula University of Technology,Graduates,2012,7892
H01,CPUT,Cape Peninsula University of Technology,Enrolments,2016,34455
H01,CPUT,Cape Peninsula University of Technology,Graduates,2016,8483
H01,CPUT,Cape Peninsula University of Technology,Enrolment Growth Rate,2016,0.006984294
H01,CPUT,Cape Peninsula University of Technology,Graduate Growth Rate,2016,0.018217595
H02,UCT,University of Cape Town,Enrolments,2012,25805
H02,UCT,University of Cape Town,Graduates,2012,6737
H02,UCT,University of Cape Town,Enrolments,2016,29232
H02,UCT,University of Cape Town,Graduates,2016,7611
H02,UCT,University of Cape Town,Enrolment Growth Rate,2016,0.031664928
H02,UCT,University of Cape Town,Graduate Growth Rate,2016,0.030964696
H03,CUT,Central University of Technology,Enrolments,2012,12724
H03,CUT,Central University of Technology,Graduates,2012,3159
H03,CUT,Central University of Technology,Enrolments,2016,15708
H03,CUT,Central University of Technology,Graduates,2016,3723
H03,CUT,Central University of Technology,Enrolment Growth Rate,2016,0.054081784
H03,CUT,Central University of Technology,Graduate Growth Rate,2016,0.041923546
H04,DUT,Durban University of Technology,Enrolments,2012,24875
H04,DUT,Durban University of Technology,Graduates,2012,5902
H04,DUT,Durban University of Technology,Enrolments,2016,28377
H04,DUT,Durban University of Technology,Graduates,2016,6961
H04,DUT,Durban University of Technology,Enrolment Growth Rate,2016,0.033477076
H04,DUT,Durban University of Technology,Graduate Growth Rate,2016,0.042120903
H05,FH,University of Fort Hare,Enrolments,2012,12044
H05,FH,University of Fort Hare,Graduates,2012,2578
H05,FH,University of Fort Hare,Enrolments,2016,13831
H05,FH,University of Fort Hare,Graduates,2016,3118
H05,FH,University of Fort Hare,Enrolment Growth Rate,2016,0.035191527
H05,FH,University of Fort Hare,Graduate Growth Rate,2016,0.048692832
H06,FS,University of Free State,Enrolments,2012,32375
H06,FS,University of Free State,Graduates,2012,6473
H06,FS,University of Free State,Enrolments,2016,36269
H06,FS,University of Free State,Graduates,2016,6819
H06,FS,University of Free State,Enrolment Growth Rate,2016,0.028801174
H06,FS,University of Free State,Graduate Growth Rate,2016,0.013103395
H07,UJ,University of Johannesburg,Enrolments,2012,48769
H07,UJ,University of Johannesburg,Graduates,2012,11410
H07,UJ,University of Johannesburg,Enrolments,2016,51795
H07,UJ,University of Johannesburg,Graduates,2016,12865
H07,UJ,University of Johannesburg,Enrolment Growth Rate,2016,0.015163505
H07,UJ,University of Johannesburg,Graduate Growth Rate,2016,0.030459759
H08,KZN,University of Kwazulu-Natal,Enrolments,2012,41864
H08,KZN,University of Kwazulu-Natal,Graduates,2012,9488
H08,KZN,University of Kwazulu-Natal,Enrolments,2016,46472
H08,KZN,University of Kwazulu-Natal,Graduates,2016,10165
H08,KZN,University of Kwazulu-Natal,Enrolment Growth Rate,2016,0.026449672
H08,KZN,University of Kwazulu-Natal,Graduate Growth Rate,2016,0.017379955
H09,UL,University of Limpopo,Enrolments,2012,22249
H09,UL,University of Limpopo,Graduates,2012,4304
H09,UL,University of Limpopo,Enrolments,2016,19843
H09,UL,University of Limpopo,Graduates,2016,4399
H09,UL,University of Limpopo,Enrolment Growth Rate,2016,-0.02820601
H09,UL,University of Limpopo,Graduate Growth Rate,2016,0.005473027
H10,NMU,Nelson Mandela University,Enrolments,2012,26597
H10,NMU,Nelson Mandela University,Graduates,2012,5976
H10,NMU,Nelson Mandela University,Enrolments,2016,27780
H10,NMU,Nelson Mandela University,Graduates,2016,6798
H10,NMU,Nelson Mandela University,Enrolment Growth Rate,2016,0.010938874
H10,NMU,Nelson Mandela University,Graduate Growth Rate,2016,0.03274391
H11,NWU,North West University,Enrolments,2012,58752
H11,NWU,North West University,Graduates,2012,14669
H11,NWU,North West University,Enrolments,2016,63395
H11,NWU,North West University,Graduates,2016,17510
