institution_code,institution_abbreviation,institution_name,year,gender,value
H01,CPUT,Cape Peninsula University of Technology,2009,Female,16540
H01,CPUT,Cape Peninsula University of Technology,2009,Male,14418
H01,CPUT,Cape Peninsula University of Technology,2009,Other,
H01,CPUT,Cape Peninsula University of Technology,2009,Total,30958
H01,CPUT,Cape Peninsula University of Technology,2010,Female,17226
H01,CPUT,Cape Peninsula University of Technology,2010,Male,14941
H01,CPUT,Cape Peninsula University of Technology,2010,Other,
H01,CPUT,Cape Peninsula University of Technology,2010,Total,32167
H01,CPUT,Cape Peninsula University of Technology,2011,Female,17314
H01,CPUT,Cape Peninsula University of Technology,2011,Male,15192
H01,CPUT,Cape Peninsula University of Technology,2011,Other,
H01,CPUT,Cape Peninsula University of Technology,2011,Total,32506
H01,CPUT,Cape Peninsula University of Technology,2012,Female,17993.99999999702
H01,CPUT,Cape Peninsula University of Technology,2012,Male,15514.999999997866
H01,CPUT,Cape Peninsula University of Technology,2012,Other,
H01,CPUT,Cape Peninsula University of Technology,2012,Total,33508.999999994885
H01,CPUT,Cape Peninsula University of Technology,2013,Female,17978
H01,CPUT,Cape Peninsula University of Technology,2013,Male,15499
H01,CPUT,Cape Peninsula University of Technology,2013,Other,
H01,CPUT,Cape Peninsula University of Technology,2013,Total,33477
H01,CPUT,Cape Peninsula University of Technology,2014,Female,17985
H01,CPUT,Cape Peninsula University of Technology,2014,Male,15201
H01,CPUT,Cape Peninsula University of Technology,2014,Other,
H01,CPUT,Cape Peninsula University of Technology,2014,Total,33186
H01,CPUT,Cape Peninsula University of Technology,2015,Female,17685
H01,CPUT,Cape Peninsula University of Technology,2015,Male,14989
H01,CPUT,Cape Peninsula University of Technology,2015,Other,
H01,CPUT,Cape Peninsula University of Technology,2015,Total,32674
H01,CPUT,Cape Peninsula University of Technology,2016,Female,18797
H01,CPUT,Cape Peninsula University of Technology,2016,Male,15658
H01,CPUT,Cape Peninsula University of Technology,2016,Other,
