institution_code,institution_abbreviation,institution_name,metric,year,value
H01,CPUT,Cape Peninsula University of Technology,Headcounts,2009,30958
H01,CPUT,Cape Peninsula University of Technology,FTEs,2009,22690.136
H01,CPUT,Cape Peninsula University of Technology,Headcounts,2010,32167
H01,CPUT,Cape Peninsula University of Technology,FTEs,2010,23853.884
H01,CPUT,Cape Peninsula University of Technology,Headcounts,2011,32506
H01,CPUT,Cape Peninsula University of Technology,FTEs,2011,24161.077
H01,CPUT,Cape Peninsula University of Technology,Headcounts,2012,33509
H01,CPUT,Cape Peninsula University of Technology,FTEs,2012,24848.444
H01,CPUT,Cape Peninsula University of Technology,Headcounts,2013,33477
H01,CPUT,Cape Peninsula University of Technology,FTEs,2013,24903.348
H01,CPUT,Cape Peninsula University of Technology,Headcounts,2014,33186
H01,CPUT,Cape Peninsula University of Technology,FTEs,2014,24493.715
H01,CPUT,Cape Peninsula University of Technology,Headcounts,2015,32674
H01,CPUT,Cape Peninsula University of Technology,FTEs,2015,24353.918
H01,CPUT,Cape Peninsula University of Technology,Headcounts,2016,34455
H01,CPUT,Cape Peninsula University of Technology,FTEs,2016,25745.868
H02,UCT,University of Cape Town,Headcounts,2009,23787
H02,UCT,University of Cape Town,FTEs,2009,18853.74549
H02,UCT,University of Cape Town,Headcounts,2010,24772
H02,UCT,University of Cape Town,FTEs,2010,19651.611
H02,UCT,University of Cape Town,Headcounts,2011,25301
H02,UCT,University of Cape Town,FTEs,2011,19843.08
H02,UCT,University of Cape Town,Headcounts,2012,25805
H02,UCT,University of Cape Town,FTEs,2012,20172.9
H02,UCT,University of Cape Town,Headcounts,2013,26118
H02,UCT,University of Cape Town,FTEs,2013,20041.624
H02,UCT,University of Cape Town,Headcounts,2014,26357
H02,UCT,University of Cape Town,FTEs,2014,20055.492
H02,UCT,University of Cape Town,Headcounts,2015,27809
H02,UCT,University of Cape Town,FTEs,2015,20776.103
H02,UCT,University of Cape Town,Headcounts,2016,29232
H02,UCT,University of Cape Town,FTEs,2016,22136.681
H03,CUT,Central University of Technology,Headcounts,2009,12205
H03,CUT,Central University of Technology,FTEs,2009,9697.434
H03,CUT,Central University of Technology,Headcounts,2010,12583
H03,CUT,Central University of Technology,FTEs,2010,9862.644
H03,CUT,Central University of Technology,Headcounts,2011,12644
H03,CUT,Central University of Technology,FTEs,2011,9764.14
H03,CUT,Central University of Technology,Headcounts,2012,12724
H03,CUT,Central University of Technology,FTEs,2012,9744.812
H03,CUT,Central University of Technology,Headcounts,2013,13303
H03,CUT,Central University of Technology,FTEs,2013,9962.73
H03,CUT,Central University of Technology,Headcounts,2014,14352
H03,CUT,Central University of Technology,FTEs,2014,10823.661
H03,CUT,Central University of Technology,Headcounts,2015,14193
H03,CUT,Central University of Technology,FTEs,2015,10010.151
H03,CUT,Central University of Technology,Headcounts,2016,15708
H03,CUT,Central University of Technology,FTEs,2016,12377.487
H04,DUT,Durban University of Technology,Headcounts,2009,24026
H04,DUT,Durban University of Technology,FTEs,2009,17335.437
H04,DUT,Durban University of Technology,Headcounts,2010,25184
H04,DUT,Durban University of Technology,FTEs,2010,18902.555
H04,DUT,Durban University of Technology,Headcounts,2011,24840
H04,DUT,Durban University of Technology,FTEs,2011,18534.362
H04,DUT,Durban University of Technology,Headcounts,2012,24875
H04,DUT,Durban University of Technology,FTEs,2012,18159
H04,DUT,Durban University of Technology,Headcounts,2013,26059
H04,DUT,Durban University of Technology,FTEs,2013,19237.26
H04,DUT,Durban University of Technology,Headcounts,2014,26472
H04,DUT,Durban University of Technology,FTEs,2014,19371.273
H04,DUT,Durban University of Technology,Headcounts,2015,27023
H04,DUT,Durban University of Technology,FTEs,2015,19585.741
H04,DUT,Durban University of Technology,Headcounts,2016,28377
H04,DUT,Durban University of Technology,FTEs,2016,20700.294
H05,FH,University of Fort Hare,Headcounts,2009,10016
H05,FH,University of Fort Hare,FTEs,2009,8810.456
H05,FH,University of Fort Hare,Headcounts,2010,10741
H05,FH,University of Fort Hare,FTEs,2010,9158.993
H05,FH,University of Fort Hare,Headcounts,2011,11144
H05,FH,University of Fort Hare,FTEs,2011,9438.403
H05,FH,University of Fort Hare,Headcounts,2012,12044
H05,FH,University of Fort Hare,FTEs,2012,9966.524
H05,FH,University of Fort Hare,Headcounts,2013,12315
H05,FH,University of Fort Hare,FTEs,2013,10304.595
H05,FH,University of Fort Hare,Headcounts,2014,13063
H05,FH,University of Fort Hare,FTEs,2014,10601.326
H05,FH,University of Fort Hare,Headcounts,2015,13458
H05,FH,University of Fort Hare,FTEs,2015,10986.741
H05,FH,University of Fort Hare,Headcounts,2016,13831
H05,FH,University of Fort Hare,FTEs,2016,11321.863
H06,FS,University of Free State,Headcounts,2009,27241
H06,FS,University of Free State,FTEs,2009,20337.33646
H06,FS,University of Free State,Headcounts,2010,29901
H06,FS,University of Free State,FTEs,2010,21706.206
H06,FS,University of Free State,Headcounts,2011,31586
H06,FS,University of Free State,FTEs,2011,23509.292
H06,FS,University of Free State,Headcounts,2012,32375
H06,FS,University of Free State,FTEs,2012,23319
H06,FS,University of Free State,Headcounts,2013,31877
H06,FS,University of Free State,FTEs,2013,23461.703
H06,FS,University of Free State,Headcounts,2014,31032
H06,FS,University of Free State,FTEs,2014,22896.763
H06,FS,University of Free State,Headcounts,2015,30418
H06,FS,University of Free State,FTEs,2015,22887.58
H06,FS,University of Free State,Headcounts,2016,36269
H06,FS,University of Free State,FTEs,2016,27178.575
H07,UJ,University of Johannesburg,Headcounts,2009,49315
H07,UJ,University of Johannesburg,FTEs,2009,38077.709
H07,UJ,University of Johannesburg,Headcounts,2010,48315
H07,UJ,University of Johannesburg,FTEs,2010,37270.58
H07,UJ,University of Johannesburg,Headcounts,2011,50528
H07,UJ,University of Johannesburg,FTEs,2011,38556.638
H07,UJ,University of Johannesburg,Headcounts,2012,48769
H07,UJ,University of Johannesburg,FTEs,2012,37349
H07,UJ,University of Johannesburg,Headcounts,2013,48386
H07,UJ,University of Johannesburg,FTEs,2013,36746.76
H07,UJ,University of Johannesburg,Headcounts,2014,49789
H07,UJ,University of Johannesburg,FTEs,2014,38263.668
H07,UJ,University of Johannesburg,Headcounts,2015,49452
H07,UJ,University of Johannesburg,FTEs,2015,38083.133
H07,UJ,University of Johannesburg,Headcounts,2016,51795
H07,UJ,University of Johannesburg,FTEs,2016,39947.687
H08,KZN,University of Kwazulu-Natal,Headcounts,2009,38864
H08,KZN,University of Kwazulu-Natal,FTEs,2009,28813.592
H08,KZN,University of Kwazulu-Natal,Headcounts,2010,41224
H08,KZN,University of Kwazulu-Natal,FTEs,2010,30633.542
H08,KZN,University of Kwazulu-Natal,Headcounts,2011,41762
H08,KZN,University of Kwazulu-Natal,FTEs,2011,31257.416
H08,KZN,University of Kwazulu-Natal,Headcounts,2012,41864
H08,KZN,University of Kwazulu-Natal,FTEs,2012,31707.864
H08,KZN,University of Kwazulu-Natal,Headcounts,2013,44002
H08,KZN,University of Kwazulu-Natal,FTEs,2013,33296.49
H08,KZN,University of Kwazulu-Natal,Headcounts,2014,45465
H08,KZN,University of Kwazulu-Natal,FTEs,2014,34227.194
H08,KZN,University of Kwazulu-Natal,Headcounts,2015,45506
H08,KZN,University of Kwazulu-Natal,FTEs,2015,34211.864
H08,KZN,University of Kwazulu-Natal,Headcounts,2016,46472
H08,KZN,University of Kwazulu-Natal,FTEs,2016,35390.769
H09,UL,University of Limpopo,Headcounts,2009,16299
H09,UL,University of Limpopo,FTEs,2009,13723.315
H09,UL,University of Limpopo,Headcounts,2010,18205
H09,UL,University of Limpopo,FTEs,2010,15725.473
H09,UL,University of Limpopo,Headcounts,2011,20504
H09,UL,University of Limpopo,FTEs,2011,17620.71
H09,UL,University of Limpopo,Headcounts,2012,22249
H09,UL,University of Limpopo,FTEs,2012,18678.458
H09,UL,University of Limpopo,Headcounts,2013,22914
H09,UL,University of Limpopo,FTEs,2013,19148.958
H09,UL,University of Limpopo,Headcounts,2014,23384
H09,UL,University of Limpopo,FTEs,2014,19746.748
H09,UL,University of Limpopo,Headcounts,2015,18907
H09,UL,University of Limpopo,FTEs,2015,16724.07
H09,UL,University of Limpopo,Headcounts,2016,19843
H09,UL,University of Limpopo,FTEs,2016,17185.771
H10,NMU,Nelson Mandela University,Headcounts,2009,25497
H10,NMU,Nelson Mandela University,FTEs,2009,18256.083
H10,NMU,Nelson Mandela University,Headcounts,2010,26119
H10,NMU,Nelson Mandela University,FTEs,2010,18839.516
H10,NMU,Nelson Mandela University,Headcounts,2011,26256
H10,NMU,Nelson Mandela University,FTEs,2011,19389.573
