institution_code,institution_abbreviation,institution_name,metric,year,value
H01,CPUT,Cape Peninsula University of Technology,African,2009,15118
H01,CPUT,Cape Peninsula University of Technology,Coloured,2009,10373
H01,CPUT,Cape Peninsula University of Technology,Indian,2009,386
H01,CPUT,Cape Peninsula University of Technology,White,2009,5081
H01,CPUT,Cape Peninsula University of Technology,Total,2009,30958
H01,CPUT,Cape Peninsula University of Technology,African,2010,16320
H01,CPUT,Cape Peninsula University of Technology,Coloured,2010,10573
H01,CPUT,Cape Peninsula University of Technology,Indian,2010,398
H01,CPUT,Cape Peninsula University of Technology,White,2010,4876
H01,CPUT,Cape Peninsula University of Technology,Total,2010,32167
H01,CPUT,Cape Peninsula University of Technology,African,2011,17041
H01,CPUT,Cape Peninsula University of Technology,Coloured,2011,10252
H01,CPUT,Cape Peninsula University of Technology,Indian,2011,373
H01,CPUT,Cape Peninsula University of Technology,White,2011,4840
H01,CPUT,Cape Peninsula University of Technology,Total,2011,32506
H01,CPUT,Cape Peninsula University of Technology,African,2012,18749
H01,CPUT,Cape Peninsula University of Technology,Coloured,2012,9640
H01,CPUT,Cape Peninsula University of Technology,Indian,2012,399
H01,CPUT,Cape Peninsula University of Technology,White,2012,4721
H01,CPUT,Cape Peninsula University of Technology,Total,2012,33509
H01,CPUT,Cape Peninsula University of Technology,African,2013,19279
H01,CPUT,Cape Peninsula University of Technology,Coloured,2013,9374
H01,CPUT,Cape Peninsula University of Technology,Indian,2013,399
H01,CPUT,Cape Peninsula University of Technology,White,2013,4425
H01,CPUT,Cape Peninsula University of Technology,Total,2013,33477
H01,CPUT,Cape Peninsula University of Technology,African,2014,19599
H01,CPUT,Cape Peninsula University of Technology,Coloured,2014,9026
H01,CPUT,Cape Peninsula University of Technology,Indian,2014,399
H01,CPUT,Cape Peninsula University of Technology,White,2014,4162
H01,CPUT,Cape Peninsula University of Technology,Total,2014,33186
H01,CPUT,Cape Peninsula University of Technology,African,2015,19738
H01,CPUT,Cape Peninsula University of Technology,Coloured,2015,8754
H01,CPUT,Cape Peninsula University of Technology,Indian,2015,348
H01,CPUT,Cape Peninsula University of Technology,White,2015,3834
H01,CPUT,Cape Peninsula University of Technology,Total,2015,32674
H01,CPUT,Cape Peninsula University of Technology,African,2016,21610
H01,CPUT,Cape Peninsula University of Technology,Coloured,2016,9033
H01,CPUT,Cape Peninsula University of Technology,Indian,2016,350
H01,CPUT,Cape Peninsula University of Technology,White,2016,3462
H01,CPUT,Cape Peninsula University of Technology,Other,2016,0
H01,CPUT,Cape Peninsula University of Technology,Total,2016,34455
H02,UCT,University of Cape Town,African,2009,7234
H02,UCT,University of Cape Town,Coloured,2009,3750
H02,UCT,University of Cape Town,Indian,2009,1896
H02,UCT,University of Cape Town,White,2009,9484
H02,UCT,University of Cape Town,Other,2009,1423
H02,UCT,University of Cape Town,Total,2009,23787
H02,UCT,University of Cape Town,African,2010,7052
H02,UCT,University of Cape Town,Coloured,2010,3696
H02,UCT,University of Cape Town,Indian,2010,1854
H02,UCT,University of Cape Town,White,2010,9475
H02,UCT,University of Cape Town,Other,2010,2695
H02,UCT,University of Cape Town,Total,2010,24772
H02,UCT,University of Cape Town,African,2011,7262
H02,UCT,University of Cape Town,Coloured,2011,3748
H02,UCT,University of Cape Town,Indian,2011,1859
H02,UCT,University of Cape Town,White,2011,9306
H02,UCT,University of Cape Town,Other,2011,3126
H02,UCT,University of Cape Town,Total,2011,25301
H02,UCT,University of Cape Town,African,2012,6997
H02,UCT,University of Cape Town,Coloured,2012,3522
H02,UCT,University of Cape Town,Indian,2012,1806
H02,UCT,University of Cape Town,White,2012,8919
H02,UCT,University of Cape Town,Other,2012,4561
H02,UCT,University of Cape Town,Total,2012,25805
H02,UCT,University of Cape Town,African,2013,6979
H02,UCT,University of Cape Town,Coloured,2013,3628
H02,UCT,University of Cape Town,Indian,2013,1802
H02,UCT,University of Cape Town,White,2013,8589
H02,UCT,University of Cape Town,Other,2013,5120
H02,UCT,University of Cape Town,Total,2013,26118
H02,UCT,University of Cape Town,African,2014,6834
H02,UCT,University of Cape Town,Coloured,2014,3657
H02,UCT,University of Cape Town,Indian,2014,1877
H02,UCT,University of Cape Town,White,2014,8237
H02,UCT,University of Cape Town,Other,2014,5752
H02,UCT,University of Cape Town,Total,2014,26357
H02,UCT,University of Cape Town,African,2015,6921
H02,UCT,University of Cape Town,Coloured,2015,3653
H02,UCT,University of Cape Town,Indian,2015,1904
H02,UCT,University of Cape Town,White,2015,8271
H02,UCT,University of Cape Town,Other,2015,7060
H02,UCT,University of Cape Town,Total,2015,27809
H02,UCT,University of Cape Town,African,2016,7517
H02,UCT,University of Cape Town,Coloured,2016,3872
H02,UCT,University of Cape Town,Indian,2016,2008
H02,UCT,University of Cape Town,White,2016,8112
H02,UCT,University of Cape Town,Other,2016,7723
H02,UCT,University of Cape Town,Total,2016,29232
H03,CUT,Central University of Technology,African,2009,10129
H03,CUT,Central University of Technology,Coloured,2009,457
H03,CUT,Central University of Technology,Indian,2009,41
H03,CUT,Central University of Technology,White,2009,1578
H03,CUT,Central University of Technology,Total,2009,12205
H03,CUT,Central University of Technology,African,2010,10592
H03,CUT,Central University of Technology,Coloured,2010,482
H03,CUT,Central University of Technology,Indian,2010,38
H03,CUT,Central University of Technology,White,2010,1471
H03,CUT,Central University of Technology,Total,2010,12583
H03,CUT,Central University of Technology,African,2011,10723
H03,CUT,Central University of Technology,Coloured,2011,489
H03,CUT,Central University of Technology,Indian,2011,45
H03,CUT,Central University of Technology,White,2011,1387
H03,CUT,Central University of Technology,Total,2011,12644
H03,CUT,Central University of Technology,African,2012,10902
H03,CUT,Central University of Technology,Coloured,2012,480
H03,CUT,Central University of Technology,Indian,2012,44
H03,CUT,Central University of Technology,White,2012,1298
H03,CUT,Central University of Technology,Total,2012,12724
H03,CUT,Central University of Technology,African,2013,11588
H03,CUT,Central University of Technology,Coloured,2013,502
H03,CUT,Central University of Technology,Indian,2013,44
H03,CUT,Central University of Technology,White,2013,1169
H03,CUT,Central University of Technology,Total,2013,13303
H03,CUT,Central University of Technology,African,2014,12751
H03,CUT,Central University of Technology,Coloured,2014,490
H03,CUT,Central University of Technology,Indian,2014,46
H03,CUT,Central University of Technology,White,2014,1065
H03,CUT,Central University of Technology,Total,2014,14352
H03,CUT,Central University of Technology,African,2015,12705
H03,CUT,Central University of Technology,Coloured,2015,451
H03,CUT,Central University of Technology,Indian,2015,46
H03,CUT,Central University of Technology,White,2015,991
H03,CUT,Central University of Technology,Total,2015,14193
H03,CUT,Central University of Technology,African,2016,14300
H03,CUT,Central University of Technology,Coloured,2016,441
H03,CUT,Central University of Technology,Indian,2016,38
H03,CUT,Central University of Technology,White,2016,929
H03,CUT,Central University of Technology,Other,2016,0
H03,CUT,Central University of Technology,Total,2016,15708
H04,DUT,Durban University of Technology,African,2009,18194
H04,DUT,Durban University of Technology,Coloured,2009,380
H04,DUT,Durban University of Technology,Indian,2009,4235
H04,DUT,Durban University of Technology,White,2009,1139
H04,DUT,Durban University of Technology,Other,2009,78
H04,DUT,Durban University of Technology,Total,2009,24026
