institution_code,institution_abbreviation,institution_name,year,success_rate
H01,CPUT,Cape Peninsula University of Technology,2009,0.78559322
H01,CPUT,Cape Peninsula University of Technology,2010,0.777858398
H01,CPUT,Cape Peninsula University of Technology,2011,0.789904978
H01,CPUT,Cape Peninsula University of Technology,2012,0.772080175
H01,CPUT,Cape Peninsula University of Technology,2013,0.778158342
H01,CPUT,Cape Peninsula University of Technology,2014,0.791889552
H01,CPUT,Cape Peninsula University of Technology,2015,0.8098554
H01,CPUT,Cape Peninsula University of Technology,2016,0.788783
H02,UCT,University of Cape Town,2009,0.83798125
H02,UCT,University of Cape Town,2010,0.839773711
H02,UCT,University of Cape Town,2011,0.832822526
H02,UCT,University of Cape Town,2012,0.847389567
H02,UCT,University of Cape Town,2013,0.855935677
H02,UCT,University of Cape Town,2014,0.858607707
H02,UCT,University of Cape Town,2015,0.844419813
H02,UCT,University of Cape Town,2016,0.847816436
H03,CUT,Central University of Technology,2009,0.724294386
H03,CUT,Central University of Technology,2010,0.736507472
H03,CUT,Central University of Technology,2011,0.758024465
H03,CUT,Central University of Technology,2012,0.769512639
H03,CUT,Central University of Technology,2013,0.764615924
H03,CUT,Central University of Technology,2014,0.749462127
H03,CUT,Central University of Technology,2015,0.771945498
H03,CUT,Central University of Technology,2016,0.786489535
H04,DUT,Durban University of Technology,2009,0.756236834
H04,DUT,Durban University of Technology,2010,0.750719784
H04,DUT,Durban University of Technology,2011,0.782826622
H04,DUT,Durban University of Technology,2012,0.794891349
H04,DUT,Durban University of Technology,2013,0.808958344
H04,DUT,Durban University of Technology,2014,0.820395593
H04,DUT,Durban University of Technology,2015,0.835763273
H04,DUT,Durban University of Technology,2016,0.83674227
H05,FH,University of Fort Hare,2009,0.772802111
H05,FH,University of Fort Hare,2010,0.778881041
H05,FH,University of Fort Hare,2011,0.775562031
H05,FH,University of Fort Hare,2012,0.762699814
H05,FH,University of Fort Hare,2013,0.783806642
H05,FH,University of Fort Hare,2014,0.80108177
H05,FH,University of Fort Hare,2015,0.803533914
H05,FH,University of Fort Hare,2016,0.796858079
H06,FS,University of Free State,2009,0.718028576
H06,FS,University of Free State,2010,0.718806434
H06,FS,University of Free State,2011,0.731982389
H06,FS,University of Free State,2012,0.737561418
H06,FS,University of Free State,2013,0.771911059
H06,FS,University of Free State,2014,0.812836426
H06,FS,University of Free State,2015,0.824616495
H06,FS,University of Free State,2016,0.805588851
